name,type,description,abbrev,url,contact_info,year_founded,date_start,date_end,sphere,Recurs,Region,Country,State,City
Nominet Trust,Actor,A UK social tech funding organization. ,,http://www.nominettrust.org.uk/,,2009,,,Global,,,,,
InHope Foundation,Actor,"""The mission of the INHOPE Foundation is to financially sponsor and support start up activities of new hotlines outside of the European Union. We seek to expand the network of hotlines by prioritizing countries where Child Sexual Abuse Material is being facilitated, produced or distributed.""",,http://www.inhopefoundation.org/,http://www.inhopefoundation.org/contact,1999,,,Global,,,Netherlands,,
Child Rights Connect,Actor,"""[I]nitially set up ... as the Ad Hoc NGO Group for the drafting of the UN Convention on the Rights of the Child to influence the drafting of the Convention on the Rights of the Child (CRC), the first and most comprehensive international human rights treaty for children. Since then, [CRC] ha[s] worked for decades to connect UN human rights systems to the daily realities of children’s lives."" ",,http://www.childrightsconnect.org/,,1983,,,Global,,,Switzerland,,
United Nations General Assembly,Actor,"""The General Assembly is the main deliberative, policymaking and representative organ of the United Nations. Comprising all 193 Members of the United Nations, it provides a [] forum for multilateral discussion of the full spectrum of international issues covered by the Charter."" ",,http://www.un.org/en/ga/,,1945,,,Global,,,,,
International Criminal Police Organization (INTERPOL),Actor,"""[A]n intergovernmental organization facilitating international police cooperation."" ",,http://en.wikipedia.org/wiki/Interpol.,,1923,,,Global,,,,,
World Wide Web Consortium,Actor,"""The World Wide Web Consortium (W3C) is an international community where Member organizations, a full-time staff, and the public work together to develop Web standards."" ",W3C,http://www.w3.org,,1994,,,Global,,,,,
United States Department of Homeland Security Immigrations and Customs Enforcement,Actor,"""U.S. Immigration and Customs Enforcement (ICE) is an American federal law enforcement agency under the United States Department of Homeland Security (DHS), responsible for identifying, investigating, and dismantling vulnerabilities regarding the nation's border, economic, transportation, and infrastructure security. ICE has two primary components: Homeland Security Investigations (HSI) and Enforcement and Removal Operations (ERO)."" ",US DHS ICE,http://www.ice.gov/about/overview,,2003,,,National,,,USA,,
Hague Conference on Private International Law,Actor,"The Hague Conference on Private International Law (or HCCH, for Hague Conference/Conférence de La Haye) is the preeminent organisation in the area of private international law. The HCCH was formed in 1893 to ""work for the progressive unification of the rules of private international law"".
Located in the International Zone alongside many other international organizations and diplomatic missions in The Hague, the Permanent Bureau is the Conference's secretariat. It has regional offices located in Buenos Aires and Hong Kong.
",HCCH,http://www.hcch.net/index_en.php,,1893,,,Global,,,,,
Friend Media Technology Systems Ltd,Actor,"""Friend Media Technology Systems Ltd. (Friend MTS) is a provider of content security technology, cloud video security services and related applications to the media industry. Using an integrated suite of proprietary technologies, including specialist search, forensic network data analysis, and video fingerprinting and watermarking, we provide services to enable content owners and rights holder to monitor consumption and remain in control of their valuable video material. With a technology center in Birmingham, UK, and offices in London, Geneva, and New York, Friend MTS serves clients globally."" ",Friend MTS,http://www.friendmts.com/,info@friendmts.com,1998,,,Global,,,UK,,
Danah Boyd,Actor,"Danah Boyd is ""a social media scholar, youth researcher, and advocate working at Microsoft Research, New York University Media Culture & Communication and the Harvard Berkman Center for Internet & Society. Her research focuses on how young people use social media aspart of their everyday practices. In recent years, she has studied Twitter, blogging, social network sites (e.g. Friendster, MySpace, Facebook...), tagging, and other forms of social media. She has written papers on a variety of different topics, from digital backchannels to social visualization design, privacy to teen drama. Along with other members of the MacArthur Foundation-funded project on digital media and learning, she helped co-author a newly published book: Hanging Out, Messing Around, and Geeking Out: Kids Living and Learning with New Media."" Books include: It's Complicated: The Social Lives of Networked Teens (2014). ",,http://www.danah.org,@zephoria,,,,Global,,,USA,,
Sharon Cooper,Actor,"M.D., CEO of Developmental & Forensic Pediatrics, P.A. Dr. Cooper serves as a consultant and board member of the National Center for Missing and Exploited Children (NCMEC). With in-depth information and practical safety tips, Dr. Cooper teaches parents and guardians how to help protect children from victimization. ",,http://www.netsmartz.org/DrSharon,sharon_cooper@med.unc.edu,,,,Global,,,USA,,
Jeff Koons,Actor,"""World-renowned artist and International Centre for Missing & Exploited Children (ICMEC) Board member Jeff Koons knows the anguish of international child abduction first hand. In the wake of the tragic abduction of his first son, Jeff worked with ICMEC to co-found The Koons Family Institute on International Law & Policy (The Koons Family Institute) to protect the world’s children. By combating child abduction and child sexual exploitation on multiple fronts – creating replicable legal tools, building international coalitions, bringing together great thinkers and opinion leaders – The Koons Family Institute is helping ICMEC build a truly global movement. Jeff and his family are dedicated to making sure children have what is most important: a childhood."" ",,http://www.jeffkoons.com/,,,,,Global,,,USA,,
The Koons Family Institute on International Law & Policy,Actor,"As ICMEC's in-house research arm, The Koons Family Institute conducts and commissions original research into the status of child sexual exploitation and child protection legislation around the world and collaborates with other partners in the field to identify and measure threats to children and ways ICMEC can advocate change to help make children safer. ",,http://www.icmec.org/missingkids/servlet/PageServlet?LanguageCountry=en_X1&PageId=4345,,,,,Global,,,,,
Children’s Charities’ Coalition on Internet Safety,Actor,"A network of childrens' charities, which all ""have a comprehensive range of expertise in child protection, child welfare and child development.""",,http://chis.org.uk/,,1999,,,Global,,,,,
United Nations Committee on the Rights of the Child,Actor,"""The Committee on the Rights of the Child (CRC) is the body of 18 Independent experts that monitors implementation of the Convention on the Rights of the Child by its State parties. It also monitors implementation of two Optional Protocols to the Convention, on involvement of children in armed conflict and on sale of children, child prostitution and child pornography.""",UN CRC,http://www.ohchr.org/EN/HRBodies/CRC/Pages/CRCIndex.aspx; http://en.wikipedia.org/wiki/Committee_on_the_Rights_of_the_Child,,1991,,,Global,,,,,
Thorn Foundation,Actor,"Thorn ""drives technology innovation to fight the sexual exploitation of children. Thorn partners across the tech industry, government and NGOs and leverage technology to combat predatory behavior, rescue victims, and protect vulnerable children."" ",,http://www.wearethorn.org/,http://www.wearethorn.org/contact/,2009,,,Global,,,USA,,
Internet Watch Foundation,Actor,"IWF is a ""UK hotline for reporting criminal online content, including: child sexual abuse anywhere in the world;
criminally obscene adult content hosted in the UK; and non-photographic child sexual abuse images hosted in the UK."" IWF also provides ""unique data to law enforcement partners in the UK and abroad to assist investigations into the distributors."" ",IWF,https://www.iwf.org.uk/,,1996,,,National,,,UK,,
CP80 Internet Zoning Initiative,Initiatives & Events,"Founded by the CP80 Foundation, the Internet Zoning Initiative “uses a three-pronged approach""– proposing technical, legislative and Internet governance solutions – to tackle child pornography. On the technical side, the Initiative aims to ""leverages the current structure and technologies of the Internet to categorize all of the content on the Web into Internet channels, similar to cable television channels,"" enabling easier access and blocking. On the legislative side, the Initiative promotes federal legislation to implement this solution, in particulat the Internet Community Ports Act (ICPA) in the USA, aimed at balancing regulation and free speech. On the IG side, the Initiative aims to enable ""Internet governing bodies to take action against individuals and entities that violate content categorization regulations and laws."" See publication: http://www.cp80.org/resources/0000/0006/CP80_Foundation_May_2007_IGF_Contribution__after_the_fact_-1.pdf",,http://www.cp80.org/solutions/technology,,,~2006,,Global,,,USA,,
Crimes Against Children Conference,Initiatives & Events,"Presented annually by the Dallas Children's Advocacy Center and the Dallas Police Department, this conference takes place in the US, but is internationally recognized. It's aim is to provide training to those employed by government or nonprofit agencies who work directly with child victims of crime, in the fields of law enforcement, child protective services, social work, children's advocacy, therapy, and medicine. ",,http://www.cacconference.org/,conference@dcac.org,1988,,,National,,,USA,Texas,Dallas
APEC-OECD Joint Symposium on Initiatives among Member Economies Promoting Safer Internet Environment for Children,Initiatives & Events,"A global convening organized by the Asia-Pacific Economic Cooperation and OECD to discuss ""Policy frameworks promoting a safer Internet for children"" and ""Best practices to address illegal/harmful content and education and awareness.""",,http://www.oecd.org/internet/ieconomy/apec-oecdjointsymposiumoninitiativesamongmembereconomiespromotingsaferinternetenvironmentforchildren.htm,,,4/15/2009,,Global,,,Singapore,,
Seoul Ministerial Meeting on the Future of the Internet Economy,Initiatives & Events,"This 2008 event featured ministers from around the world formally recognizing ""the importance of ensuring a trusted Internet-based environment that offers protection to individuals, especially minors and other vulnerable groups."" ",,http://www.oecd.org/FutureInternet/,,,6/17/2008,6/18/2008,Global,,,South Korea,,Soeul
Virtual Global Task Force,Initiatives & Events,"""The Virtual Global Taskforce (VGT) seeks to build an effective, international partnership of law enforcement agencies, non government organisations and industry to help protect children from online child abuse and other forms of transnational child sexual exploitation."" VGT law enforcement member agencies are: U.S. Immigration and Customs Enforcement’s Homeland Security Investigations; the Australian Federal Police; the United Kingdom National Crime Agency’s Child Exploitation and Online Protection Command; Royal Canadian Mounted Police, the Canadian Police Centre for Missing and Exploited Children/Behavioural Science Branch; the Italian Postal and Communication Police Service; New Zealand Police; INTERPOL; Europol; the Ministry of Interior for the United Arab Emirates; the Dutch National Police; the Korean National Police; and the Indonesian National Police. VGT private partners are: End Child Prostitution, Child Pornography and Trafficking of Children for Sexual Purposes network (ECPAT International); International Association of Internet Hotlines (INHOPE); the National Center for Missing & Exploited Children (NCMEC); International Centre for Missing and Exploited Children (ICMEC), PayPal, Microsoft Digital Crimes Unit, World Vision Australia, Blackberry, The Code, Kids Internet Safety Alliance (KINSA) and NetClean. Member countries include: http://www.virtualglobaltaskforce.com/who-we-are/member-countries/. Publications: http://www.virtualglobaltaskforce.com/resources/publications/; Conferences: http://www.virtualglobaltaskforce.com/conferences/. Upcoming events include the VGT's 2014 Annual Meeting in Amsterdam (November 5-6, 2014).",VGT,http://www.virtualglobaltaskforce.com/,vgtsecretariat@ice.dhs.gov,2003,,,Global,,,,,
International Child Abduction Attorney Network,Initiatives & Events,A volunteer organization of attorneys organized by NCMEC to represent left behind parents of children abducted by a family member. A commitment to handle at least one pro bono case entitles attorneys to membership in the International Child Abduction Attorney Network. ,,http://www.missingkids.com/ICAAN,icaan@ncmec.org,,,,Global,,,,,
Campaign Against International Child Abduction,Initiatives & Events,"An ICMEC program, the Campaign aims to improve legal and social systems to assist in the resolution of child abduction cases through the following programs: Global Missing Children’s Network (in partnership with NCMEC: http://www.missingkids.com/GMCN);
Partnership with the Permanent Bureau of the Hague Conference on Private International Law; Good Practice Reports on the Hague International Child Abduction Convention; and the YouTube Missing Children’s Channel. ",,http://www.icmec.org/missingkids/servlet/PageServlet?LanguageCountry=en_X1&PageId=1740,dshapiro@ncmec.org,2004,,,Global,,,,,
Financial Coalition Against Child Pornography,Initiatives & Events,"""[A] coalition of 34 [] banks, credit card companies, electronic payment networks, third-party payments companies and Internet services companies dedicated to putting an end to commercial child pornography.""",,http://www.missingkids.com/FCACP,,2006,,,Global,,,,,
"End Child Prostitution, Child Pornography and Trafficking of Children for Sexual Purposes",Initiatives & Events,"A ""non-governmental organisation and a global network of civil society organisations exclusively dedicated to ending the commercial sexual exploitation of children (CSEC).” The organization “advocates for strong legal frameworks to end the production and distribution of child pornography.” They work with “global stakeholders to advocate for legal reform based on the Convention on the Rights of the Child and its optional protocols, and promoting international standards with policy makers and practitioners.” “ECPAT works with leading global actors in the technology sector, law enforcement, government and other child rights agencies to develop and implement adequate responses to prevent children from exploitation online.” Research & Resources: http://www.ecpat.net/resources. Member Organizations: http://www.ecpat.net/where-we-are. ",ECPAT International,http://www.ecpat.net/end-child-pornography,http://www.ecpat.net/contact-us,1990,,,Global,,,,,
InHope,Initiatives & Events,"INHOPE is ""an active and collaborative network of 51 hotlines in 45 countries worldwide, dealing with illegal content online and committed to stamping out child sexual abuse from the Internet."" INHOPE is governed by Articles of Association (English translation) and Rules and Regulations: http://www.inhope.org/Libraries/Board_documentation/2014_INHOPE_ARTICLES_OF_ASSOCIATION_English.sflb.ashx.",,http://www.inhope.org/gns/home.aspx,info@inhope.org,1999,,,Global,,,Netherlands,,
"GSMA Mobile Alliance Against Child Sexual Abuse Content
",Initiatives & Events,"""The Mobile Alliance Against Child Sexual Abuse Content was founded by an international group of mobile operators within the GSMA to work collectively on obstructing the use of the mobile environment by individuals or organisations wishing to consume or profit from child sexual abuse content."" ",,http://www.gsma.com/publicpolicy/myouth/mobiles-contribution-to-child-protection/mobile-alliance; http://www.gsma.com/publicpolicy/wp-content/uploads/2013/10/GSMA_The-Mobile-Alliance-Against-Child-Sexual-Abuse-Content_Oct-2013_2ppWEB.pdf,sam.lynch@gsma.com,2008,,,Global,,,UK,,
The Global Initiative against Transnational Organized Crime,Initiatives & Events,"""The Global Initiative against Transnational Organized Crime is a network of prominent law enforcement, governance and development practitioners who are dedicated to seeking new and innovative strategies and responses to organized crime."" Works to share research across the field. ",,http://www.globalinitiative.net/,,2011,,,Global,,,,,
European Financial Coalition,Initiatives & Events,"The European Financial Coalition ""brings together Internet providers, banks and payment system suppliers, NGOs, telecom companies, Europol, Eurojust and police and judicial authorities. The aim is to combat the production, distribution and sale of child pornography images on the Internet."" ",,http://www.europeanfinancialcoalition.eu/index.php,http://www.europeanfinancialcoalition.eu/contact.php,2012,,,Global,,,,,
European Cybercrime Centre at Europol,Initiatives & Events,"The Centre serves as a focal point of ""EU’s fight against cybercrime"" and supports ""Member States and the European Union’s institutions in building operational and analytical capacity for investigations and cooperation with international partners."" EC3's mandate is ""to tackle the following areas of cybercrime: That committed by organised groups to generate large criminal profits such as online fraud; That which causes serious harm to the victim such as online child sexual exploitation; That which affects critical infrastructure and information systems in the European Union."" ",EC3,https://www.europol.europa.eu/ec3,,,1/1/2013,,Regional,,Europe,,,
Global Alliance against Child Sexual Abuse Online,Initiatives & Events,"The Global Alliance members endorse ""the Declaration on the Launch of the Global Alliance against child sexual abuse online"" and commit to four key policy targets: ""enhancing efforts to identify victims and ensuring that they receive the necessary assistance, support and protection; enhancing efforts to investigate cases of child sexual abuse online and to identify and prosecute offenders; increasing awareness among children, parents, educators and the community at large about the risks; reducing the availability of child pornography online and the re-victimization of children.To-date, 53 countries have committed to its goals."" ",,http://ec.europa.eu/dgs/home-affairs/what-we-do/policies/organized-crime-and-human-trafficking/global-alliance-against-child-abuse/index_en.htm,,,12/5/2012,,Global,,,,,
Microsoft Digital Crimes Unit (DCU),Initiatives & Events,"""The Microsoft Digital Crimes Unit is an international legal and technical team working with partners to help create a safe digital world."" The ""team is comprised of more than 100 attorneys, investigators, and forensic analysts around the globe, with expertise across the areas of malware, botnets, IP crimes, and technology-facilitated child exploitation.""",,http://www.microsoft.com/government/ww/safety-defense/initiatives/pages/digital-crimes-unit.aspx,,,,,Global,,,USA,,
Technology Task Force (DCU and Microsoft Research),Initiatives & Events,"The Task Force works ""to spur deeper innovation in the technology research and anti-trafficking communities. An RFP for research was issued to help drive greater understanding regarding the intersection of technology and trafficking. These early efforts are intended to be the groundwork to encourage development of solutions to fight this horrible crime in the future.”",,http://www.microsoft.com/government/ww/safety-defense/initiatives/Pages/dcu-child-exploitation.aspx,,2011,,,Global,,,,,
Project VIC,Initiatives & Events,"""The purpose of Project Vic is to create an ecosystem of information and data sharing between domestic and international law enforcement agencies. These agencies all work on crimes facilitated against children and the exploitation of children. The agencies generally retain silos of similar data that would be more useful in the aggregate. This project looks at the sum total effect of facilitating a method for each agency to leverage aggregate data in the form of robust image hash values. Project VIC is a combination of a Project to bring Victim Identification to the forefront of investigations and the tools that have adopted the ideals of the project."" Project VIC also works to lead ""an effort to create a standards-based protocol called Vix, for victim-centric information exchange."" ",,http://www.projectvic.org/project/,info@projectvic.org,,,,Global,,,,,
ForceForge,Initiatives & Events,"""Forceforge is a community designed to enable developers from law enforcement to collaborate on projects related to tracking child abuse material traders on the internet. ForceForge is a developer oriented system with collaborative tools such as code repositories, bug tracking and wiki that the enable members to share and develop open source tools."" ",,http://www.forceforge.org/,,,,,Global,,,,,
29th Meeting of the INTERPOL Specialist Group on Crimes against Children,Initiatives & Events,The 29th Meeting of the INTERPOL Specialist Group on Crimes against Children.,,,,,9/5/2011,,Global,,,France,,Lyons
OECD Seoul Declaration for the Future of the Internet Economy,Laws & Policies,"Ourtcome document of the Seoul Ministerial Meeting on the Future of the Internet Economy, which in part includes declaration to work together to ""[e]nsure a trusted Internet-based environment which offers protection to individuals, especially minors and other vulnerable groups."" ",,http://www.oecd.org/sti/40839436.pdf,,,6/17/2008,,Global,,,South Korea,,Soeul
Recommendations of the Virtual Global Task Force,Laws & Policies,"These recommendations released by the VGT focus on combatting online child sexual abuse material. Recommendations include getting member countries to use Open Data Protocol (OData) and have a national center to manage materials and ""support victim-centric investigations and identification efforts.” ",,http://www.projectvic.org/vitual-global-task-force-vgt/,,,2013,,Global,,,New Zealand,,
"Optional Protocol on the Sale of Children, Child Prostitution and Child Pornography – a protocol to the Convention on the Rights of the Child",Laws & Policies,"""The Optional Protocol on the Sale of Children, Child Prostitution and Child Pornography is a protocol to the Convention on the Rights of the Child and requires parties to prohibit the sale of children, child prostitution and child pornography.""",,http://www.ohchr.org/EN/ProfessionalInterest/Pages/OPSCCRC.aspx.,,,1/18/2002,,Global,,,,,
Optional Protocol to the Convention on the Rights of the Child on a Communications Procedure,Laws & Policies,"""The Third Optional Protocol to the CRC on a Communications Procedure (OP3 CRC) sets out an international complaints procedure for child rights violations. It entered into force in April 2014, allowing children from states that have ratified to bring complaints about violations of their rights directly to the UN Committee on the Rights of the Child if they have not found a solution at national level."" ",,https://treaties.un.org/doc/source/signature/2012/CTC_4-11d.pdf,,,4/1/2014,,Global,,,,,
The Protection of Children Online: Report on risks faced by children online and policies to protect them,Laws & Policies,"""This Recommendation is based on the findings of this report (of the OECD Committee for Information, Computer and Communications Policy (ICCP) Working Party on Information Security and Privacy (WPISP)) and has been developed with the participation of business, civil society and the Internet technical community. Consistent with the 1989 United Nations Convention on the Rights of the Child, it includes principles for all stakeholders involved in making the Internet a safer environment for children and educating them towards becoming responsible digital citizens. It also focuses on three main challenges faced by governments which underline the emerging nature of the protection of children online as a public policy area: the need for an evidence-based policy making approach, for managing policy complexity through enhanced policy co-ordination, consistency and coherence as well as for taking advantage of international co-operation to improve the efficiency of national policy frameworks and foster capacity building.""",,http://www.oecd.org/sti/ieconomy/childrenonline_with_cover.pdf,,,2012,,Global,,,,,
United Nations Convention on the Rights of the Child,Laws & Policies,"""The United Nations Convention on the Rights of the Child (commonly abbreviated as the CRC, CROC, or UNCRC) is a human rights treatywhich sets out the civil, political, economic, social, health and cultural rights of children. The Convention defines a child as any human being under the age of eighteen, unless the age of majority is attained earlier under a state's own domestic legislation."" ",,http://www.ohchr.org/en/professionalinterest/pages/crc.aspxv,,,9/2/1990,,Global,,,,,
AG-2011-RES-05 - Combating online sexual exploitation of children through a legislative global engagement strategy,Laws & Policies,,,http://www.interpol.int/content/download/12387/85371/version/4/file/AG-2011-RES-05.pdf,,,2011,,Global,,,,,
AG-2011-RES-08 - Promoting victim-centric management of child abuse material at the national level,Laws & Policies,,,http://www.interpol.int/content/download/12398/85453/version/4/file/AG-2011-RES-08.pdf,,,2011,,Global,,,,,
AG-2010-RES-05 - Child Alert Systems to assist safe recovery of abducted children,Laws & Policies,,,http://www.interpol.int/content/download/4399/40122/version/6/file/AGN79RES05[1].pdf.,,,2010,,Global,,,,,
"AG-2009-RES-05 - Combating sexual exploitation of children on the Internet using all available technical solutions, including access-blocking by INTERPOL member countries",Laws & Policies,,,http://www.interpol.int/content/download/5272/44057/version/4/file/AGN78RES05.pdf.,,,2009,,Global,,,,,
AG-2005-RES-09 - Addressing WebSites selling Child Pornography and Trafficking of Children on Internet,Laws & Policies,,,http://www.interpol.int/content/download/5385/45192/version/4/file/agn74res09.pdf.,,,2005,,Global,,,,,
Hague Convention on the Civil Aspects of International Child Abduction,Laws & Policies,"""The Hague Convention of 25 October 1980 on the Civil Aspects of International Child Abduction is a multilateral treaty, which seeks to protect children from the harmful effects of abduction and retention across international boundaries by providing a procedure to bring about their prompt return. The 'Child Abduction Section' provides information about the operation of the Convention and the work of the Hague Conference in monitoring its implementation and promoting international co-operation in the area of child abduction.""",,http://www.hcch.net/index_en.php?act=conventions.text&cid=24,,,10/25/1980,,Global,,,,,
Report on the APEC-OECD Joint Symposium on Initiatives Among Member Economies Promoting Safer Internet Environment for Children,Research & Advocacy,"A summary report of the APEC-OECD Joint Symposium on Initiatives among Member Economies Promoting Safer Internet Environment for Children. The report summarizes the two-phase project: ""As a first phase, interested economies, such as Japan,  Australia, Canada, Thailand, and the U.S., launched a virtual working group and discussed various factors, such as the content of the questionnaire to send to each economy and the symposium agenda. As a second phase, while holding the joint symposium with OECD, these interested economies sought to promote mutual exchange of best practices and awareness of the problem."" ",,http://www.oecd.org/sti/ieconomy/44120262.pdf,,,4/15/2009,,Global,,,Singapore,,
Internet Child Pornography and the Law: National and International Responses,Research & Advocacy,"Critically assessing the problem of internet child pornography and its governance, this book investigates how effective implementation, enforcement and harmonization of laws could substantially help to reduce the availability and dissemination of child pornography on the Internet.",,http://books.google.com/books?id=Mx30syIntCYC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,,2/28/2013,,Global,,,,,
Child abuse material and the Internet: Cyberpsychology of online child related sex offending,Research & Advocacy,"Paper presented at the 29th Meeting of the INTERPOL Specialist Group on Crimes against Children Lyons, France 5-7th September 2011. The piece argues that there is a need to explore the implications of ""industrial and technological advances have impacted on availability, photography, printing and its distribution via the Internet""  and ""to establish an online offender typology that closely reflects the demographic profile and behaviour of online offenders."" ",,http://www.interpol.int/Media/Files/INTERPOL-Expertise/IGLC/Child-abuse-material-and-the-Internet.,,,9/5/2011,,Global,,,,,
Defining Child Pornography: Law Enforcement Dilemmas in Investigations of Internet Child Pornography Possession,Research & Advocacy,This study examines law enforcement dilemmas in child pornography possession investigations in which no offender was arrested. A mail survey of US law enforcement agencies identified a sample of Internet child pornography possession cases where no arrest was made. Telephone surveys with law enforcement investigators were used to collect case‐specific data and information on dilemmas in these investigations. Law enforcement investigators reported that determining whether or not images fit within statutory limits and ascertaining the age of children in images impacted arrest outcomes in child pornography possession cases.,,,,,7/12/2007,,Global,,,,,
Child Pornography: An Internet Crime,Research & Advocacy,"This book examines the reality behind the often hysterical media coverage of the topic. Drawing on extensive new research findings, it examines how child pornography is used on the Internet and the social context in which such use occurs, and develops a model of offending behaviour to better help understand and deal with the processes of offending. Detailed case studies and offenders' own accounts are used to illustrate the processes involved in offending and treatment. The authors argue that we need to refine our ideas of offending, and that while severe deterrents need to be associated with possession of child pornography, a better understanding is needed of the links between possession and committing a contact offence. Only by improving our understanding of this complex and very controversial topic can we hope to deal effectively with offenders and with their child victims. This is a book which will become an essential read for anyone involved with offenders or victims from a psychological, judicial or social background. ",,http://books.google.com/books?id=swuOAgAAQBAJ&dq=internet+child+pornography+legislation&lr=.,,,2003,,Global,,,,,
Cyber child pornography: A review paper of the social and legal issues and remedies—and a proposed technological solution,Research & Advocacy,"Abstract: ""Cyber child pornography is an increasingly visible problem in society today. With the growth in home Personal Computer (PC) usage and more readily available access to the World Wide Web over the past decade, child pornographers have found a convenient venue for sharing horrific pictures of children being sexually abused. Also, police and lawyers around the globe have found that detecting and prosecuting cyber child pornographers have become onerous chores, often with a high failure rate of placing perpetrators behind bars. The methods currently employed by law enforcement officers to combat cyber child pornography may be considered to be primitive and inefficient. In this paper, we review the major social, legal, and technological issues facing citizens, lawmakers, and the police regarding cyber child pornography. We also propose a new technological approach for combating online child pornography. In particular, we propose a source address reputation system based on Bloom filters and a novel classification system utilizing a stochastic weak estimator, coupled with a linear classifier. We believe that our proposed method for identifying offensive online material would be attractive to law enforcement globally, because it can be implemented with acceptable overheads.""",,http://www.sciencedirect.com/science/article/pii/S1359178906000401#.,,,2006,,Global,,,,,
A Typology of Online Child Pornography Offending ,Research & Advocacy,"Abstract: ""The Internet has increased the range, volume and accessibility of sexually abusive imagery, including child pornography. Child pornography depicts the sexual or sexualised physical abuse of children under 16 years of age. Australia has joined many other nations in an international effort to combat this multi-faceted global menace that combines both heavily networked and highly individualised criminal behaviour. This paper examines the typology of online child pornography offending, as well as law enforcement responses to the problem. This work is a result of a collaborative program between the Australian Institute of Criminology and the Australian High Tech Crime Centre."" ",,http://aic.gov.au/media_library/publications/tandi2/tandi279.pdf.,,,7/1/2004,,Global,,,,,
Chapter 13: Governance of Pornography and Child Pornography on the Global Internet: A Multi-Layered Approach.,Research & Advocacy,"Abstract: ""This chapter will discuss two different issues: the regulation of potentially harmful content such as pornography on the Internet; and regulation of invariably illegal content such as child pornography. These issues are different in nature and should not be confused. It is the submission of this paper that any regulatory action intended to protect a certain group of people, such as children, should not take the form of an unconditional prohibition of using the Internet to distribute certain content where that is freely available to adults in other media."" ",,http://www.cyber-rights.org/reports/governan.htm.,,,1997,,Global,,,,,
Children and Internet Pornography: The Nature of the Problem and the Technologies for a Solution,Research & Advocacy,"Abstract: ""This article argues that a better solution would call on nations to collectively zone the Internet. This zoning could be facilitated by the Internet Corporation for Assigned Names and Numbers (ICAAN), which is uniquely positioned as a global Internet administrator. A zoning of the Internet would require nations to pass legislation obliging pornographers to post their offerings only on designated ports (dubbed “Open Ports” by the CP80 initiative). ICAAN, with its global authority, could designate which ports are “Open” for harmful communications and could also indicate those countries and Internet service providers that are non-compliant with zoning requirements."" ",,http://intgovforum.org/Substantive_2nd_IGF/Children%20and%20Internet%20Pornography_The%20Nature%20of%20the%20Problem%20%20and%20the%20Technologies.pdf.,,,,,Global,,,,,
Beyond Tolerance: Child Pornography on the Internet,Research & Advocacy,"Abstract: ""Philip Jenkins takes a leap onto the lower tiers of electronic media in this first book on the business of child pornography online. He tells the story of how the advent of the internet caused this deviant subculture to become highly organized and go global. We learn how the trade which operates on clandestine websites from Budapest or Singapore to the U.S. is easy to glimpse yet difficult to eradicate. Jenkins details how the most sophisticated transactions are done through a proxy, a “false flag” address, rendering the host computer, and participants, virtually unidentifiable. And these sites exist for only a few minutes or hours allowing on-line child pornographers to stay one step ahead of the law. This is truly a globalized criminal network which knows no names or boundaries, and thus challenges both international and U.S. law. Beyond Tolerance delves into the myths and realities of child pornography and the complex process to stamp out criminal activity over the web, including the timely debates over trade regulation, users' privacy, and individual rights. This sobering look and a criminal community contains lessons about human behavior and the law that none interested in media and the new technology can afford to ignore."" ",,http://www.publishersweekly.com/978-0-8147-4262-4.,,,8/1/2001,,Global,,,,,
Report to Law Enforcement Projects Subgroup (LEPSG) on the “Global Symposium for Examining the Relationship Between Online and Offline Offenses and Preventing the Sexual Exploitation of Children”,Research & Advocacy,"The following report provides a synopsis of what transpired at the G8 sponsored “Global Symposium for Examining the Relationship Between Online and Offline Offenses and Preventing the Sexual Exploitation of Children.” The symposium took place between April 5-7, 2009, at the University of North Carolina at Chapel Hill, United States. As described in further detail below, the symposium originated from a project proposal to the Law Enforcement Projects Subgroup from the U.S. delegation, specifically Andrew Oosterbaan, Section Chief of the U.S. Department of Justice, Criminal Division, Child Exploitation and Obscenity Section, together with Anitha Ibrahim. ",,http://www.justice.gov/criminal/ceos/downloads/SymposiumReport20090519.pdf,,,5/1/2009,,Global,,,USA,North Carolina,
Child Pornography on the Internet,Research & Advocacy,"Abstract: ""The guide begins by describing the problem and reviewing factors that increase the risks of Internet child pornography. It then identifies a series of questions that might assist you in analyzing your local Internet child pornography problem. Finally, it reviews responses to the problem and what is known about these from evaluative research and police practice.""",,http://www.popcenter.org/problems/child_pornography/,,,2006,,Global,,,,,
Child Pornography On the Internet: New Challenges Require New Ideas,Research & Advocacy,"Abstract: ""The world is changing rapidly, and the methods used by sexual predators who prey on children are changing with it. If police restrict themselves to traditional methods of conducting investigations, they will not be able to keep up. Only once they begin to think outside the box will they discover those new methods necessary to save children."" ",,http://www.policechiefmagazine.org/magazine/index.cfm?fuseaction=display&article_id=158&issue_id=122003,,,12/1/2003,,Global,,,,,
Virtual Global Taskforce Environmental Scan 2012,Research & Advocacy,"The Virtual Global Taskforce (VGT)'s environmental scan was ""commissioned by the VGT Board of Managers. It is a sanitised version of an assessment intended for law enforcement, and is structured in three parts: a literature review; law enforcement trends; and future considerations."" ",,http://www.virtualglobaltaskforce.com/wp-content/uploads/2013/05/VGT-Environmental-Scan.pdf.,,,2012,,Global,,,,,
